Store code,Taxi Rank Name - English,District/Community - English,Taxi Rank Name - Arabic,District/Community - Arabic,Latitude,Longitude,Primary category
TXR_131,RTA Taxi Rank Al Maktoum International Airport,Dubai South,مواقف مركبات الأجرة مطار آل مكتوم الدولي,دبي الجنوب,24.885799,55.15677,Taxi stand
TXR_132,RTA Taxi Rank Bollywood Parks Dubai Park & Resorts,Sheikh Zayed Rd,مواقف مركبات الأجرة بوليوود باركس دبي بارك آند ريزورتس,شارع الشيخ زايد,24.915753,55.007915,Taxi stand
TXR_133,RTA Taxi Rank Motiongate Dubai- Dubai Parks And Resorts ,Sheikh Zayed Rd,مواقف مركبات الأجرة موشون جيت دبي - دبي باركس آند ريزورتس,شارع الشيخ زايد,24.921158,55.008388,Taxi stand
TXR_134,RTA Taxi Rank Global Village,Global Village,مواقف مركبات الأجرة القرية العالمية,القرية العالمية,25.072645,55.306568,Taxi stand
TXR_135,RTA Taxi Rank Lamcy Plaza,Oud Metha,مواقف مركبات الأجرة لامسي بلازا,عود ميثاء,25.234569,55.30787,Taxi stand
TXR_136,RTA Taxi Rank Sobha Properties,Nadd Al Sheba,مواقف مركبات الأجرة عقارات شوبا,ند الشبا,25.177385,55.308565,Taxi stand
TXR_137,RTA Taxi Rank Emirates HQ,Airport Road,مواقف مركبات الأجرة المكتب الرئيسي لمجموعة طيران الامارات,شارع المطار,25.242019,55.366098,Taxi stand
TXR_138,RTA Taxi Rank Four Seasons Resort Dubai At Jumeirah Beav,Jumeirah Beach Road,مواقف مركبات الأجرة منتجع فور سيزونز دبي في جميرا بيف,شارع شاطئ جميرا,25.202235,55.240601,Taxi stand
TXR_139,RTA Taxi Rank Al Ghubaiba Bus Station Backside,Al Fahidi,مواقف مركبات الأجرة محطة حافلات الغبيبة الجهة الخلفية,الفهيدي,25.261755,55.288714,Taxi stand
TXR_140,RTA Taxi Rank Discovery Garden 1,Ibn Battuta Street,مواقف مركبات الأجرة ديسكفري جاردن 1,شارع ابن بطوطة,25.044048,55.134959,Taxi stand
TXR_141,RTA Taxi Rank Discovery Garden 2,Ibn Battuta Street,مواقف مركبات الأجرة ديسكفري جاردن 2,شارع ابن بطوطة,25.044164,55.133608,Taxi stand
